投票区,番号,住所,備考,名称
35,2,大阪府箕面市粟生間谷西４丁目２番先,粟生団地２１棟 西側,No.2 粟生団地２１棟 西側
35,3,大阪府箕面市粟生間谷西４丁目２番先,粟生団地３５棟 西側,No.3 粟生団地３５棟 西側
35,4,大阪府箕面市粟生間谷西４丁目２番先,粟生団地４１棟 西側,No.4 粟生団地４１棟 西側
35,5,大阪府箕面市粟生間谷西４丁目３番内,西田公園 東側,No.5 西田公園 東側
35,6,大阪府箕面市粟生間谷西４丁目３番１号,豊川北小学校 西側,No.6 豊川北小学校 西側
35,7,大阪府箕面市粟生間谷西４丁目２番内,粟生団地９棟 西側,No.7 粟生団地９棟 西側
36,1,大阪府箕面市粟生間谷西５丁目11番先,奥バス停 南側,No.1 奥バス停 南側
36,2,大阪府箕面市粟生間谷西６丁目７番７号先,奥自治会館 南側,No.2 奥自治会館 南側
36,3,大阪府箕面市粟生間谷西７丁目２１番内,東山南公園 北側,No.3 東山南公園 北側
36,4,大阪府箕面市粟生間谷西５丁目３４番内,安楽寺橋 南側,No.4 安楽寺橋 南側
36,5,大阪府箕面市粟生間谷東５丁目４番先,粟生間谷交差点,No.5 粟生間谷交差点
36,6,大阪府箕面市粟生間谷西３丁目２４番先,間谷橋 西側,No.6 間谷橋 西側
36,7,大阪府箕面市粟生間谷西３丁目１３番１号先,宮の前バス停 北側,No.7 宮の前バス停 北側
36,8,大阪府箕面市粟生間谷西３丁目１０番３５号,豊北小コミセン鐘の鳴る家,No.8 豊北小コミセン鐘の鳴る家
37,1,大阪府箕面市粟生間谷東１丁目２１番先,大井出橋 東側,No.1 大井出橋 東側
37,2,大阪府箕面市粟生間谷東５丁目１８番先,法泉寺保育園 南側,No.2 法泉寺保育園 南側
37,3,大阪府箕面市粟生間谷東５丁目３１番内,間谷南公園 東側,No.3 間谷南公園 東側
37,4,大阪府箕面市粟生間谷東６丁目１３番内,間谷西公園 東側,No.4 間谷西公園 東側
37,5,大阪府箕面市粟生間谷東５丁目８番先,山の口バス停 東側,No.5 山の口バス停 東側
37,6,大阪府箕面市彩都粟生南２丁目２番内,緑地南側,No.6 緑地南側
37,7,大阪府箕面市彩都粟生南３丁目２番７号,カサ・フィランテVol.Ⅱ 西側歩道,No.7 カサ・フィランテVol.Ⅱ 西側歩道
38,1,大阪府箕面市彩都粟生北２丁目１番内,「彩都の丘学園」校門看板横,No.1 「彩都の丘学園」校門看板横
38,2,大阪府箕面市彩都粟生南６丁目４番先,彩都低区配水地 西側,No.2 彩都低区配水地 西側
38,3,大阪府箕面市彩都粟生南４丁目２番内,三叉路東側道路柵,No.3 三叉路東側道路柵
38,4,大阪府箕面市彩都粟生南７丁目４２番１,彩都区画９０号緑地,No.4 彩都区画９０号緑地
38,5,大阪府箕面市彩都粟生南７丁目１番２６号,彩都コミセン天空の家西側（本間様宅横の空き地の道路向い）,No.5 彩都コミセン天空の家西側（本間様宅横の空き地の道路向い）
38,6,大阪府箕面市彩都粟生北２丁目,彩都なないろ公園駐車場,No.6 彩都なないろ公園駐車場
38,7,大阪府箕面市彩都粟生南６丁目１５番４号,彩都みのり保育園 北側,No.7 彩都みのり保育園 北側
